#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2019-11-16-20-13-20
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]
1566633655.480589	C40mSozfNGGQLqF6c	192.168.134.130	56214	138.253.13.50	80	1	GET	liv.ac.uk	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	0	301	MOVED PERMANENTLY	-	-	-	(empty)	-	-	-	-	-	-	-
1566633660.929370	CkOYcgmZN1ElB8bm4	192.168.134.133	17543	151.101.128.144	80	1	GET	data.gov.uk	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1566633662.203245	CNeBDt3o4pGSuwjV6b	192.168.134.132	44123	145.5.1.13	80	1	GET	eur.nl	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1566633662.660966	CLYY4X1QiH8gn3mLNk	192.168.134.132	44125	72.21.91.29	80	1	GET	ocsp.digicert.com	/MFEwTzBNMEswSTAJBgUrDgMCGgUABBREqZtsmh5U/rY2VgAVNO1cKGgpzgQUwriF1+G5E73RSLz9Xtx9kEJ6iqkCEALixYASeMtVeErbPTZWHLE=	-	Microsoft-CryptoAPI/10.0	0	471	200	OK	-	-	-	(empty)	-	-	-	-	-	FL90M23TBbs03pWBuc	application/ocsp-response
1566633663.921275	C9hiki4AamJQTry4Mg	192.168.134.130	56240	144.202.46.214	80	1	POST	144.202.46.214	/504vsa/server/vssvc.php	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	95	237	200	OK	-	-	-	(empty)	-	-	-	FFtNnq3DqrO3si0rib	text/plain	FiM29lbIjQEkJOATg	text/html
1566633666.126904	CoZjbK3Re07JndRbg7	192.168.134.134	58140	54.239.31.60	80	1	GET	audible.com	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	231	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fb9AwP1ZlUs5c6Iud6	text/html
1566633666.361086	CKCaKK3gc0EQuSQvd7	192.168.134.134	58141	52.94.241.19	80	1	GET	www.audible.com	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1566633669.140880	CQQ8be2yvJxditCjT6	192.168.134.132	44136	104.104.65.132	80	1	GET	yoox.com	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1566633672.054503	CCAx6n47rNDlK1v09a	192.168.134.133	17551	193.109.247.236	80	1	GET	3dn.ru	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	184	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FjAeNx3DMNE0NP3e	text/html
1566633674.007520	CgCgfi3rhU4ckv1bH3	192.168.134.130	56241	144.202.46.214	80	1	POST	144.202.46.214	/504vsa/server/vssvc.php	-	Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)	95	237	200	OK	-	-	-	(empty)	-	-	-	FGqYwY2XE6vNYbNeDc	text/plain	FICeY13ihgIrKmN8t	text/html
1566633676.188125	Ckn5FF9LjgZ5HBHag	192.168.134.129	38438	169.147.4.30	80	1	GET	kumc.edu	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1566633676.389778	CNDYzB1P1QpyRsMJNh	192.168.134.129	38439	169.147.4.30	80	1	GET	www.kumc.edu	/	-	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	44723	200	OK	-	-	-	(empty)	-	-	-	-	-	FcCz541zxV6uWCLrcb	text/html
1566633676.658422	CNDYzB1P1QpyRsMJNh	192.168.134.129	38439	169.147.4.30	80	2	GET	www.kumc.edu	/Images/x/kumc-horiz-white-sig.png	http://www.kumc.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	8591	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh7yrs0YtWOqhtmtk	image/png
1566633677.251999	CXUaIW3K3bswk4oUak	192.168.134.129	38448	169.147.4.30	80	1	GET	www.kumc.edu	/images/a/Cambridge-Tower-megamenu.jpg	http://www.kumc.edu/	'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36'	0	40230	200	OK	-	-	-	(empty)	-	-	-	-	-	FfTurp4xFMlWgDa393	image/jpeg
