#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2019-11-16-20-06-12
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	mac	assigned_ip	lease_time	trans_id
#types	time	string	addr	port	addr	port	string	addr	interval	count
1566608645.474720	C38UOPfS2oxTlfZY3	192.168.134.133	68	192.168.134.254	67	00:0c:29:09:e8:30	192.168.134.133	1800.000000	1622071757
1566608810.451859	CBTLpk1WbmnAULUHQ7	192.168.134.135	68	192.168.134.254	67	00:0c:29:8d:04:43	192.168.134.135	1800.000000	3452209870
1566608945.620873	CgGDRB2etTJkjPR98c	192.168.134.132	68	192.168.134.254	67	00:0c:29:98:31:4d	192.168.134.132	1800.000000	460406743
1566608991.010935	CCvjSe1ROx8U4k1h1	192.168.134.130	68	192.168.134.254	67	00:0c:29:71:67:f2	192.168.134.130	1800.000000	1209798339
1566608994.772996	CodRkD1zzygCbSNKp6	192.168.134.131	68	192.168.134.254	67	00:0c:29:14:82:42	192.168.134.131	1800.000000	455984766
1566609019.389916	Ctz92g37N6iEXnYxif	192.168.134.129	68	192.168.134.254	67	00:0c:29:a3:82:65	192.168.134.129	1800.000000	631063840
1566609506.435050	CRaUwm2ZOhK2co9SYk	192.168.134.134	68	192.168.134.254	67	00:0c:29:4c:f8:0c	192.168.134.134	1800.000000	2482724496
1566609545.646332	CcFS7VkimnsFtwRf4	192.168.134.133	68	192.168.134.254	67	00:0c:29:09:e8:30	192.168.134.133	1800.000000	691519478
1566609709.746402	CNh0gx2DOuDOwQsWad	192.168.134.135	68	192.168.134.254	67	00:0c:29:8d:04:43	192.168.134.135	1800.000000	100907303
#close	2019-11-16-20-06-26
