#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-11-16-20-06-26
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1566609717.077597	CkHvvY1h9EHWECMc52	192.168.134.132	2913	13.226.38.125	443	TCP_ack_underflow_or_misorder	-	F	bro
1566609717.222623	CrJt9G2xcszakv6AM6	192.168.134.131	52138	192.168.134.2	53	dns_unmatched_reply	-	F	bro
1566609726.938392	CFMagv13LG57jsFDjc	192.168.134.134	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566609726.939581	C4gFlQ2EteEZoTVWZj	fe80::e5a9:536:ef8c:4445	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
1566609727.224493	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609736.947338	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609736.947338	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609779.821980	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609779.821980	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609779.821980	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609779.821980	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609780.886846	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609780.886846	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609786.692953	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609795.384183	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609819.138609	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609819.138609	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609825.809978	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609833.686568	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609845.987316	-	-	-	-	-	unknown_protocol_2	-	F	bro
1566609856.305300	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609856.305300	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609860.993262	CA2EP1QEmBm9kaHj9	192.168.134.132	3272	120.133.2.243	80	unescaped_special_URI_char	-	F	bro
1566609900.874072	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609900.874072	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609904.177966	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609904.179163	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609904.896519	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609904.896519	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609914.212314	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609918.785835	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609929.499170	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566609929.499170	-	-	-	-	-	dns_unmatched_msg	-	F	bro
1566610015.161729	Cok86t2CAwLSqNq6R7	192.168.134.133	36358	172.217.20.99	443	SYN_after_close	-	F	bro
1566610015.172632	CD5Fqs11IH8zeK0u95	192.168.134.133	36359	172.217.20.99	443	SYN_after_close	-	F	bro
1566610044.378247	C28bTl19NUoZn5o705	192.168.134.129	5353	224.0.0.251	5353	dns_unmatched_reply	-	F	bro
1566610044.378811	CLLeGQvAKiaj3jto6	fe80::75f8:a759:bc14:e464	5353	ff02::fb	5353	dns_unmatched_reply	-	F	bro
