#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2019-11-16-20-04-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	mac	assigned_ip	lease_time	trans_id
#types	time	string	addr	port	addr	port	string	addr	interval	count
1566601790.926591	CYrfAv295XKmOJsD0j	192.168.134.130	68	192.168.134.254	67	00:0c:29:71:67:f2	192.168.134.130	1800.000000	106179569
1566601795.026608	CBYjp91O4lYD91wYai	192.168.134.131	68	192.168.134.254	67	00:0c:29:14:82:42	192.168.134.131	1800.000000	1920083237
1566601817.982091	ChBtyJ2QsYNTwEqlM	192.168.134.129	68	192.168.134.254	67	00:0c:29:a3:82:65	192.168.134.129	1800.000000	573969176
1566602306.508159	Cq6Z283jAneg9kHP96	192.168.134.134	68	192.168.134.254	67	00:0c:29:4c:f8:0c	192.168.134.134	1800.000000	3851901104
1566602345.638823	CygYFP1ucN7V4AxDMb	192.168.134.133	68	192.168.134.254	67	00:0c:29:09:e8:30	192.168.134.133	1800.000000	2870809417
1566602509.860665	C2qQdw2Ecya7y5KYn	192.168.134.135	68	192.168.134.254	67	00:0c:29:8d:04:43	192.168.134.135	1800.000000	3045469029
1566602643.178185	CV0EXd3zIAjchfqo08	192.168.134.132	68	192.168.134.254	67	00:0c:29:98:31:4d	192.168.134.132	1800.000000	571692693
1566602690.975389	CvpB9b3sS1l5nnyJrl	192.168.134.130	68	192.168.134.254	67	00:0c:29:71:67:f2	192.168.134.130	1800.000000	3972941319
1566602695.088755	CN2pWP1XfcUbxHenLb	192.168.134.131	68	192.168.134.254	67	00:0c:29:14:82:42	192.168.134.131	1800.000000	869539119
#close	2019-11-16-20-04-31
